Location,Price,Total_Area,Price_per_SQFT,Baths,Balcony,BHK,State,Year,District,Temperature (°C),Condition,Humidity (%),Wind Speed (km/h),Disaster
"Abdul kalam nagar bharathiyar street cowl bazar,Meenambakkam, Chennai",2500000.0,590,4240.0,2,Yes,1.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Thiruporur, Chennai",2300000.0,908,2530.0,3,No,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Sakal Apartment ,Saraswathi Nagar, Neelankarai,Chennai",10000000.0,1400,7140.0,3,Yes,3.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Sriram Nagar, Ramapuram,Chennai",4200000.0,535,7850.0,2,No,1.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Mahalingapuram, Nungambakkam,Chennai",14500000.0,1100,13180.0,3,No,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"mahalakshmi,Mylapore, Chennai",5600000.0,620,9030.0,2,Yes,1.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Gandhi Nagar, Oragadam Ambattur,Chennai",4200000.0,1150,3650.0,3,Yes,3.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Jayalalitha Nagar, Mogappair,Chennai",12500000.0,1800,6940.0,3,Yes,4.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"D-Sector, Anna Nagar West Extension,Chennai",15000000.0,1200,12500.0,3,Yes,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Venkta Puram, Saidapet,Chennai",7500000.0,1100,6820.0,3,Yes,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"KRISHNA HOMES,Yeswanth Nagar, Madambakkam,Chennai",2700000.0,625,4320.0,2,Yes,1.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Stepsstone ,Varadharajapuram, Chennai",4000000.0,840,4760.0,3,Yes,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Sri Varaha Apartment,Thirunagar, Jafferkhanpet,Chennai",6200000.0,865,7170.0,3,No,1.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Sri Kapaleeswarar Nagar, Neelankarai,Chennai",10000000.0,1400,7140.0,3,No,3.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Adayalampet, Maduravoyal,Chennai",3500000.0,542,6460.0,2,No,1.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Mookambigai Nagar, Kovur,Chennai",7800000.0,1000,7800.0,3,Yes,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Thirumullaivoyal, Chennai",6000000.0,1100,5450.0,3,Yes,3.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Shakthi Nagar, Kodambakkam,Chennai",80000000.0,7000,11430.0,4,Yes,7.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Rangarajapuram, Kodambakkam,Chennai",59000000.0,3750,15730.0,6,Yes,10.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Thiruporur, Chennai",1500000.0,550,2730.0,2,Yes,1.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Paranur, Chennai",3200000.0,610,5250.0,2,Yes,5.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Vandalur R.F., Chennai",5700000.0,1190,4790.0,3,No,3.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Anna Nagar, Chitlapakkam,Chennai",3000000.0,638,4700.0,2,No,1.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Kannan Colony, Pazhavanthangal,Chennai",5900000.0,588,10030.0,2,Yes,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
" Sri Golden Avenue,Ma. Po. Si. Nagar, Thiruvallur,Chennai",1800000.0,600,3000.0,2,Yes,1.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Mel Ayanambakkam, Kil Ayanambakkam,Chennai",3025000.0,579,5220.0,2,Yes,1.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Baraca Apartments ,Aminjikarai, Chennai",14400000.0,1110,13000.0,3,No,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Balaji Nagar, Royapettah,Chennai",25000000.0,2100,11900.0,4,Yes,3.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Palavakkam, Chennai",60000000.0,3600,16670.0,2,Yes,6.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Owners Court Egmore,Mukta Gardens, Chetpet,Chennai",14000000.0,1500,9330.0,3,No,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Alandur, Chennai",5000000.0,870,5750.0,3,Yes,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Surya Apartments ,Jagannathapuram, Chetpet,Chennai",6500000.0,750,8670.0,2,No,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Uthandi, Chennai",10000000.0,1748,5720.0,3,Yes,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Topline construction ,Kamakshi Nagar, Anakaputhur,Chennai",2000000.0,485,4120.0,2,No,1.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Venkatesapuram Colony, Ayanavaram,Chennai",16000000.0,1650,9700.0,3,Yes,4.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
